Date,Close
2019-12-30,1160.6800537109375
2019-12-31,1156.3499755859375
2020-01-01,1153.75
2020-01-02,1153.969970703125
2020-01-03,1157.1500244140625
2020-01-06,1165.8499755859375
2020-01-07,1167.4200439453125
2020-01-08,1166.4599609375
2020-01-09,1161.260009765625
2020-01-10,1157.81005859375
2020-01-13,1156.9300537109375
2020-01-14,1153.93994140625
2020-01-15,1157.050048828125
2020-01-16,1156.780029296875
2020-01-17,1158.77001953125
2020-01-20,1160.3599853515625
2020-01-21,1157.5699462890625
2020-01-22,1168.739990234375
2020-01-23,1163.72998046875
2020-01-24,1167.5999755859375
2020-01-27,1169.1500244140625
2020-01-28,1176.72998046875
2020-01-29,1174.280029296875
2020-01-30,1178.0799560546875
2020-01-31,1187.1199951171875
2020-02-03,1194.8699951171875
2020-02-04,1189.3599853515625
2020-02-05,1182.47998046875
2020-02-06,1183.4599609375
2020-02-07,1184.25
2020-02-10,1191.0899658203125
2020-02-11,1185.6300048828125
2020-02-12,1180.719970703125
2020-02-13,1177.9599609375
2020-02-14,1183.469970703125
2020-02-17,1182.1800537109375
2020-02-18,1183.81005859375
2020-02-19,1189.9300537109375
2020-02-20,1191.3699951171875
2020-02-21,1204.4000244140625
2020-02-24,1205.77001953125
2020-02-25,1217.6500244140625
2020-02-26,1214.550048828125
2020-02-27,1211.3599853515625
2020-02-28,1211.31005859375
2020-03-02,1200.0999755859375
2020-03-03,1188.280029296875
2020-03-04,1186.3399658203125
2020-03-05,1183.6800537109375
2020-03-06,1187.469970703125
2020-03-09,1187.699951171875
2020-03-10,1199.9599609375
2020-03-11,1184.699951171875
2020-03-12,1189.3900146484375
2020-03-13,1209.969970703125
2020-03-16,1210.800048828125
2020-03-17,1232.0400390625
2020-03-18,1237.989990234375
2020-03-19,1255.3499755859375
2020-03-20,1256.8800048828125
2020-03-23,1253.949951171875
2020-03-24,1262.9300537109375
2020-03-25,1228.5999755859375
2020-03-26,1231.0799560546875
2020-03-27,1212.18994140625
2020-03-30,1211.6300048828125
2020-03-31,1222.699951171875
2020-04-01,1216.6600341796875
2020-04-02,1234.72998046875
